Αἰάκης	Æakès, (h.)
ἡμικύκλιον	demi-cercle ; tout objet ou dessin en forme de demi-cercle
ἡμιλόχιον	demi-cohorte
ἡμιπήχιον	demi-coudée
ἡμιρρόμβιον	bandage en forme de demi-losange
ἡμισπίθαμος	de la longueur ou de la grosseur d'un demi-empan (0,116~m)
ἡμιτριταικός	demi-tierce (fièvre)
ἡμιτόμιον	moitié (d'une fève)
ἡμιψυγής	à moitié refroidi, séché
ἡμιωβολιαῖος	qui vaut une demi-obole ; de la largeur d'une demi-obole
ἡμιωβόλιον	demi-obole
ἡμιώβολον	demi-obole
ἡμιώριον	demi-heure
ἡμός	notre, le nôtre
ἡνίον	brides, rênes
ἡνιοστρόφος	qui tient les rênes, qui dirige
ἡνιόχη	conductrice de chars (Hèra)
ἡνιόχησις	action de tenir les rênes, de conduire un char ; action de diriger
ἡονή	utilité
ἡπάτιον	dim. d’ἧπαρ (foie)
ἡρέμα	doucement, paisiblement, tranquillement ; modérément, légèrement, un peu ; lentement
ἡροικός	héroïque
ἡρωογονία	Généalogie des héros
ἡρώιος	héroïque
ἡσσόνως	moins que, moins
ἡσυχῆ	tranquillement
ἡσύχιμος	tranquille
ἡττάω	être inférieur à ; être vaincu
ἡχοῦ	où, de la façon que
ἤγανον	???? Renvoi sans Issue ????
ἤιος	le puissant ou celui qui frappe de loin
ἤν	voici! voilà! tenez!
ἤνια	bride, rêne ; courroies ou cordons de soulier
ἤνπερ	si toutefois
ἤπειρόνδε	vers le rivage ; vers la plaine
ἤπου	ou bien, ou peut-être
ἤρα	lever ; faire une levée ; élever, exalter, grandir ; mettre hors de soi ; être transporté
ἤτοι	certes, assurément, en vérité ; ou en vérité
ἥπατος	poisson qui a la couleur de foie
ἥσθημα	joie
ἦλον	animal de petit bétail ; animal de gros bétail
ἦνις	âgée d'une année
ἦτα	êta, 7e lettre de l'alphabet grec
ἦτε	certes, sans doute ; est-ce que ?
Ἠέροπος	Aéropos
Ἠδωνικός	des Èdônes
Ἠδωνοί	les Èdônes
Ἠδωνός	des Èdônes
Ἠδῶνες	les Èdônes
Ἠερίβοια	Éribœa, (f.)
Ἠετίων	Èétiôn
Ἠιόνη	Èïonè
Ἠλίας	Élie ou Hélie
Ἠλεκτρυώνη	la fille d'Èlektryôn (Alcmène)
Ἠλεκτρύων	Èlektryôn
Ἠλεῖος	Èleios, (h.)
Ἠλιακός	qui concerne le soleil, solaire
Ἠλύσιος	élyséen, des Champs Élysées
Ἠλώνη	Èlônè, (v.)
Ἠμαθίων	Èmathiôn, (h.)
Ἠνιοπεύς	Èniopée
Ἠνοπίδης	le fils d'Énops
Ἠοῖαι	les ἢ οἵη (poème d'Hésiode)
Ἠπιδανός	Apidanos, (fl.)
Ἠπιόνη	Èpionè (celle qui apaise ou guérit)
Ἠπυτίδης	fils d'Èpytos
Ἠρίδανος	l'Éridan
Ἠριγόνη	Èrigonè, (f.)
Ἠριδανός	l'Éridan
Ἠϊονεύς	Èïonée, (h.)
Ἠϊών	Èïôn ou Èiôn (auj. ruines près d'Ofrýnio, Komitíssi, Rendína) (v.)
Ἡγέλοχος	Hègélokhos
Ἡγέμων	Hègémon, (h.)
Ἡγήμων	Hègèmôn, (h.)
Ἡγήσανδρος	Hègèsandros, (h.)
Ἡγημών	Hègèmôn, (h.)
Ἡγησίας	Hègèsias, (h.)
Ἡγησίστρατος	Hègèsistratos, (h.)
Ἡγησιάναξ	Hègèsianax, (h.)
Ἡγησικλής	Hègèsiklès, (h.)
Ἡγησιπύλη	Hègèsipylè
Ἡγητορίδης	Hègètoridès (fils d'Hègètôr) (h.)
Ἡλίκη	Hèlikè, (f.)
Ἡλιόδωρος	Hèliodôros (Héliodore)
Ἡλιότροπος	héliotrope
Ἡμιθέων	Hèmithéôn, (h.)
Ἡνιόχη	Hèniokhè, (f.)
Ἡράκλειδαι	les descendants d’Hèraklès, les Héraclides
Ἡράκλειτος	Hèrakleitos (Héraclite)
Ἡρέας	Hèréas
Ἡραίευς	d'Hèræa
Ἡραιεύς	d'Hèræa
Ἡρακλίσκος	petit Hèraklès
Ἡρακλεία	fém. d’ Ἡράκλειος (d'Hèraklès)
Ἡρακλείδης	fils ou descendant d'Hèraklès ; Hèrakleidès, (h.)
Ἡρακλεωτικός	d'Hèraklès ; d'Hèrakleia
Ἡρακλεόδωρος	Hèrakléodôros, (h.)
Ἡρωδιανός	Hérodien
Ἡρόδικος	Hèrodikos, (h.)
Ἡρόδοτος	Hèrodotos (Hérodote)
Ἡρόδωρος	Hèrodôros
Ἡρόστρατος	Hèrostratos (Érostrate)
Ἡρόφαντος	Hèrophantos, (h.)
Ἡρόφιλος	Hèrophilos (h.)
Ἡρώδης	Hèrôdès (Hérode)
Ἡσίοδος	Hésiode
Ἡσιόδειος	d'Hésiode
Ἡσιόνη	Hèsionè
Ἡσυχίδες	les Hèsykhides
Ἡφαίστειος	d'Hèphæstos
Ἡφαιστίων	Hèphæstiôn (Héphestion)
Ἡφαιστιεύς	habitant d'Hèphæstia, (v.)
Ἡφαιστοτευχής	travaillé par Hèphæstos
Ἡφαιστόπολις	Hèphæstopolis, (h.)
Ἤνοψ	Énops, (h.)
Ἤριννα	Erinna (Érinne)
Ἥδυλος	Hèdylos (h.)
Ἥραιον	temple d’Hèra
Ἥρω	Hèrô (Héro)
Ἥρων	Héron
Ἦλις	l'Élide ; Élis (auj. ruines près de Kalývia et Archéa Ílida)
Ἦτις	fém. de ὅστις
ἰάζω	agir ou parler comme les Ioniens ; se servir du dialecte ionien
ἰάτρευσις	action de soigner, de guérir
ἰάτρια	femme qui exerce la médecine
ἰή	Iè ! Pæôn
ἰαιβοῖ	ah !
ἰακχέω	pousser des cris
ἰαμβέλεγος	vers demi-ïambique, demi-élégiaque
ἰαμβιάζω	poursuivre de vers ïambiques, de railleries, de satires
ἰασμέλαιον	huile de jasmin
ἰατής	médecin
ἰατταταί	ah !
ἰατταταῖ	ah !
ἰαυοῖ	oh ! oh !
ἰγδίον	petit mortier
ἰγνύς	jarret, pli du genou
ἰδέω	&gt; ἰδῶ ; &gt; εἰδῶ
ἰδιοθηρία	chasse privée, pour soi-même
ἰδιοπροσωπία	aspect particulier
ἰδιοπρόσωπος	qui a un aspect particulier
ἰδιοπρᾱγία	action d'agir pour soi-même ; action d'agir de soi-même, d'une façon indépendante
ἰδιοσυγκρισία	constitution propre
ἰδιοσύγκρισις	constitution propre
ἰδιόφυτον	autre n. de la plante λεοντοπόδιον (pied de lion)
ἰδιόχρωμος	qui a sa couleur propre, naturelle
ἰδού	voici, voilà
ἰδρίτας	qui connaît
ἰδυῖα	savante, ingénieuse
ἰηλεμίζω	se lamenter
ἰθυκυφής	qui est d'abord droit, puis convexe, « en droite ligne », « concave », « convexe », « oblique »
ἰθύθριξ	aux cheveux droits, non crépus
ἰθύλορδος	qui est d'abord droit, puis concave
ἰθύντατα	en droite ligne, directement ; tout de suite, aussitôt ; avec droiture
ἰθύτονος	tendu droit, droit ; perpendiculaire
ἰκτεριώδης	qui a la jaunisse
ἰκτερώδης	???? Renvoi sans Issue ????
ἰκτῖνος	milan ; sorte de loup
ἰνδαλματίζομαι	rendre semblable, être semblable
ἰνδαλμός	image, forme, apparence
ἰντυβολάχανον	sorte de chicorée
ἰξεύτρια	???? Renvoi sans Issue ????
ἰξοφάγος	qui mange de la glu
ἰογλέφαρος	aux paupières noires, aux yeux noirs
ἰοδόκη	carquois
ἰονθώδης	semblable à un bouton, qui bourgeonne
ἰοπλόκος	aux couronnes ou aux guirlandes de violette
ἰπνίον	dim. d’ἰπνός (four, lanterne)
ἰπνοπλάστης	qui construit des fours
ἰπνοποιός	qui construit des fours
ἰρίνεος	d'iris
ἰρίς	iris ou arc-en-ciel ; iris
ἰσήρης	ajusté également, égal, semblable à
ἰσήριθμος	égal en nombre à
ἰσαίτερος	égal
ἰσανάφορος	d'une hauteur égale à l'horizon
ἰσηγορέω	parler avec une égale liberté
ἰσθμώδης	semblable à un isthme
ἰσογράφος	exactement transcrit, écrit d'après, copié sur
ἰσογραφή	transcription exacte
ἰσοδρόμος	qui court vite que
ἰσοετής	dont la durée égale l'année
ἰσορρεπής	qui penche autant d'un côté que de l'autre, qui est en équilibre ; bien équilibré, qui se contre-balance bien
ἰσοστατέω	peser autant
ἰσοχρόνιος	égal en durée
ἰστέος	qu'il faut savoir ou connaître
ἰσχάδιον	petite figue sèche
ἰσχίον	os du bassin où s'emboîte le fémur ; parties charnues autour de l'os du bassin, hanches ; partie saillante de l'os des fesses
ἰσχαδόπωλις	marchande de figues sèches
ἰσχιακός	atteint de la goutte sciatique
ἰσχνοπάρειος	aux joues maigres
ἰσόκρατος	qui a une puissance ou une force égale ; égal
ἰσόπαλος	d'égale force à la lutte ; équivalent, égal, pareil
ἰσόυψος	d'une hauteur égale à
ἰσόχειλος	qui s'élève jusqu'au bord (jusqu'aux lèvres)
ἰταμία	hardiesse, effronterie, impudence
ἰτείη	???? Renvoi sans Issue ????
ἰτητέον	???? Renvoi sans Issue ????
ἰχθυάζομαι	pêcher
ἰχθυβολεύς	pêcheur qui harponne le poisson
ἰχθυβόλος	qui harponne le poisson ; harponné, péché
ἰχθυοθηρευτής	pêcheur
ἰχθυοθηρητήρ	pêcheur
ἰχθυοφάγος	qui se nourrit de poisson
ἰχθυφάγος	qui se nourrit de poisson
ἰχθύινος	???? Renvoi sans Issue ????
ἰχθύς	poisson ; marché aux poissons
ἰχνελάτης	qui suit à la piste
ἰχωρώδης	purulent
ἰψός	Ipsos, (v.)
ἰωνίσκος	autre n. du poisson χρύσοφρυς (dorade)
ἰόκολπος	au sein paré de violettes, à la ceinture violette
ἰόπλοκος	aux couronnes ou aux guirlandes de violette
ἰόω	couvrir de rouille, se couvrir de rouille
ἱδρώτιον	légère transpiration
ἱδρῶα	pustules, échauboulures
ἱερή	prêtresse
ἱερήιον	victime (brebis) offerte en sacrifice ; bétail égorgé pour être mangé
ἱεραί	le Lieu sacré
ἱερακίσκος	petit épervier
ἱερακιάς	épervière, plante
ἱερακοπόδιον	pied d'épervier
ἱεροθύτης	sacrificateur
ἱερομήνια	fête de chaque mois, jour de fête
ἱερομηνία	fête de chaque mois, jour de fête
ἱεροστολιστής	prêtre égyptien chargé d'habiller les images des dieux
ἱεροσυλία	pillage d'un temple
ἱερόλας	prêtre
ἱερόμυρτος	autre n. de la plante ὀξυμυρσίνη (myrte épineux)
ἱερόφαντις	fém. d’ἱεροφάντης (hiérophante)
ἱκέτις	suppliante
ἱκετηρίς	suppliante
ἱκετικός	fait pour supplier, propre à supplier
ἱκτήριος	de suppliant
ἱκταῖος	fait pour supplier, propre à supplier
ἱκτορεύω	venir comme suppliant ; venir supplier
ἱλάομαι	se rendre favorable, apaiser : qqn ; expier
ἱλέομαι	???? Renvoi sans Issue ????
ἱλαρία	gaîté
ἱλαρύνω	réjouir, d'où se réjouir
ἱλαρῳδέω	chanter des airs joyeux
ἱλατεύω	se rendre propice, se concilier
ἱμέρα	Himéra (Himère, Termini) (v.)
ἱματίδιον	petit vêtement
ἱματιδάριον	dim. d'ἱματίδιον (petit vêtement)
ἱματιόπωλις	marchande d'habits
ἱμερώδης	aimable, charmant
ἱππάρχης	qui maîtrise ou dirige un cheval ; commandant de cavalerie
ἱππίας	Hippias
ἱππαλέος	qui concerne les chevaux, de cheval ; qui concerne les cavaliers, de cavalier, de cavalerie ; qui concerne les chars, de char
ἱππαλίδας	habile cavalier ; fils d'Hippalos
ἱππαπαί	cri des matelots
ἱππαπαῖ	cri des matelots
ἱππαστήρ	qui sert pour l'équitation
ἱππευτήρ	qui va à cheval ; cavalier
ἱππηγός	qui sert au transport des chevaux
ἱππηλάσιος	propre aux courses de char
ἱππιατρικός	qui concerne l'art vétérinaire
ἱπποδρόμος	soldat de cavalerie légère
ἱπποζώνη	gigot du cheval
ἱπποκράτειος	d'Hippocrate, hippocratique
ἱπποκόρυθος	guerrier couvert d'un casque qui combat à cheval ou du haut d'un char
ἱππομάχος	Hippomakhos
ἱπποσσόος	habile à lancer les chevaux
ἱπποστάσιον	écurie
ἱπποστασία	écurie
ἱπποτρόφος	qui nourrit des chevaux (contrée, etc.) ; qui nourrit ou élève des chevaux
ἱππουρεύς	sorte de poisson de mer
ἱπποχάρμης	qui combat du haut d'un char ; qui combat à cheval ; tumulte d'un combat de chevaux
ἱππόκομος	garni d'une crinière de cheval
ἱππότις	fém. d’ἱππότης (cavalier)
ἱρεύω	égorger pour soi
ἱρός	auguste, admirable, fort, puissant ; sacré ; l'ancre de miséricorde, la dernière ancre
ἱστάνω	placer debout ; soulever, pousser en avant ou en haut ; fixer, immobiliser ; se placer debout ; se tenir debout ; dresser pour soi, dresser
ἱστάριον	dim. d’ἱστός (objet dressé)
ἱστάω	placer debout ; soulever, pousser en avant ou en haut ; fixer, immobiliser ; se placer debout ; se tenir debout ; dresser pour soi, dresser
ἱστιάτωρ	président des repas sacrés
ἱστιητόριον	salle de festin, salle à manger
ἱστουργέω	tisser, être tisserand
ἱστουργός	qui tisse, tisserand
ἴκκος	Ikkos, (h.)
ἴλαος	propice, favorable ; de bonne humeur, enjoué
ἴλλος	louche, qui tourne les yeux
ἴνδικος	de l'Inde, indien
ἴνη	fibres des plantes
ἴορκος	sorte de chevreuil ou de chamois
ἴσικος	saucisse
ἴσχυσις	force, puissance
ἴτηλος	constant
ἴτης	qui marche en avant
ἵκετις	suppliante
ἵκτωρ	qui vient en suppliant, suppliant
ἵστωρ	qui sait, qui connaît ; celui qui connaît la loi, juge ; historien
ἶψ	ver qui ronge le bois
ἷμα	vêtement ; couverture
Ἰάδμων	Iadmôn, (h.)
Ἰάκωβος	Jacob
Ἰάλμενος	Ialménos
Ἰάλυσος	Ialysos
Ἰάμβη	Iambè
Ἰάμβλιχος	Jamblique
Ἰάμβουλος	Iamboulos
Ἰάν	Ionien
Ἰάνασσα	Ianassa
Ἰάνειρα	Ianeira
Ἰάνθη	Ianthè
Ἰάπετος	Iapétos (Japet)
Ἰάπυγες	Iapyges
Ἰάπυξ	Iapyx
Ἰάρδανος	Iardanos, (fl.)
Ἰάσιος	Iasios (h.)
Ἰάστιος	ionien
Ἰάσων	Iasôn (Jason)
Ἰάων	d'Ionie, Ionien
Ἰήλυσος	Ialysos
Ἰήνυσος	Iènysos, (v.)
Ἰήσων	Iasôn (Jason)
Ἰαλυσός	Ialysos, (v.) (Ialiso ou Uxilica)
Ἰαμενός	Iaménos, (h.)
Ἰαονίς	d'Ionie
Ἰαπετός	Iapétos (Japet)
Ἰαπύγιος	d'Iapygie
Ἰασίδης	fils d'Iasos
Ἰασίων	Iasiôn, (h.)
Ἰασεύς	habitant ou originaire d'Iasos
Ἰαωλκός	Iôlkos, (v.)
Ἰαόνιος	Ionien, Grec ; Athénien
Ἰβηρικός	d'Ibérie
Ἰγνάτιος	Ignatius, (h. rom.)
Ἰδάνθυρσος	Idanthyrsos
Ἰδομενή	Idoménè
Ἰδομενεύς	Idoménée
Ἰδρίευς	Hidriée, (h.)
Ἰηλυσός	Ialysos
Ἰηλύσιος	???? Renvoi sans Issue ????
Ἰησονίδης	le fils de Jason
Ἰησοῦς	Jésus-Christ
Ἰητραγόρης	Iètragorès, (h.)
Ἰθάκηνδε	à Ithaque
Ἰθαιμένης	Ithæménès, (h.)
Ἰθακήσιος	d'Ithaque
Ἰθαμίτρης	Ithamitrès
Ἰθώματας	du mt Ithôme
Ἰθώμη	Ithômè (Ithôme)
Ἰκάριος	d'Icare
Ἰλάειρα	bienfaisante
Ἰλιονεύς	Ilionée, (h.)
Ἰλισσός	l'Hilisos (Ilissus)
Ἰλιόθεν	d'Ilion
Ἰλιόθι	à Ilion
Ἰλλυρία	Illyrie
Ἰλλυρίζω	parler la langue illyrienne
Ἰλλυρίς	d'Illyrie
Ἰλλυρικός	d'Illyrie
Ἰλλυριός	d'Illyrie, illyrien
Ἰλλύριος	d'Illyrie, illyrien
Ἰμβρασίδης	le fils d'Imbrasos
Ἰνάρως	Inarôs
Ἰνάχειος	d'Inakhos
Ἰνδίς	de l'Inde, indien
Ἰνδοφόνος	meurtrier des Indiens
Ἰνδῷος	de l'Inde, indien
Ἰνταφέρνης	Intaphernès
Ἰνώ	Inô
Ἰοβάτης	Iobatès, (roi myth. de Lydie)
Ἰοκάστη	Jokastè (Jocaste)
Ἰουγούρθας	Jugurtha
Ἰουδαίζω	imiter les Juifs ou se conformer à leurs croyances
Ἰουδαικός	de Juif, judaïque
Ἰουλιανός	Julien
Ἰουστῖνος	Justinus, (h.)
Ἰοφῶν	Iophôn (h.)
Ἰοφῶσσα	Iophôssa (f.)
Ἰούδας	Juda
Ἰούλιος	Ioulios, (h.) ; Jules
Ἰούνιος	de juin
Ἰσίδωρος	Isidôros (Isidore) (h.)
Ἰσαγόρης	Isagoras, (h.)
Ἰσεῖα	les fêtes d'Isis
Ἰσθμιόνικος	Isthmionikos, (h.)
Ἰσθμώδης	semblable à un isthme
Ἰσμήνη	Ismènè (Ismène)
Ἰσμήνιος	du fleuve Ismènos
Ἰσμαρίς	d'Ismaros
Ἰσμηνίας	Isménias, (h.)
Ἰσμηνός	l'Ismènos (auj. Isminós) (fl.)
Ἰσοδίκη	Isodikè, (f.)
Ἰσοκράτης	Isokratès (Isocrate)
Ἰσοτιμίδης	Isotimidès, (h.)
Ἰσσήδονες	les Issèdones
Ἰσσός	Issos (auj. près de Dörtyol) (v.)
Ἰστρίη	Istriè, (v.)
Ἰστριανός	de la région de l'Ister ; de l'Istrie ; de la ville d'Istriè
Ἰστώνη	Istônè
Ἰσχένοος	Iskhénoos, (h.)
Ἰσχαγόρας	Iskhagoras
Ἰσχόμαχος	Iskhomakhos, (h.)
Ἰσόλοχος	Isolokhos, (h.)
Ἰταλιωτικός	d'Italiote
Ἰταλιώτης	Italiote
Ἰταλιῶτις	Italiote
Ἰτυμονεύς	Itymonée, (h.)
Ἰτωνιάς	d'Itôn
Ἰφίγενεια	Iphigénie, (fille d’Agamemnon)
Ἰφίνοος	Iphinoos, (h.)
Ἰφεύς	Iphée
Ἰφθίμη	Iphthimè
Ἰφιάς	Iphias
Ἰφιγενεία	Iphigénie, (fille d’Agamemnon)
Ἰφιδάμας	Iphidamas, (h.)
Ἰφικλέης	Iphiklès
Ἰφικράτης	Iphikratès
Ἰφιμέδεια	Iphimédeia, (f.)
Ἰφινόη	Iphinoè, (f.)
Ἰφιτίδης	fils d'Iphitos
Ἰφιτίων	Iphitiôn
Ἰχθύς	Ikhthys (auj. Katákolo cap Zanchi)
Ἰχνευτήρ	???? Renvoi sans Issue ????
Ἰωλκός	Iôlkos, (v.)
Ἰωνία	l'Ionie
Ἰωνιάς	Iônias, (h.)
Ἰόκαστος	Jokastos, (h.)
