@Αἰάντειος	d'Ajax,	of Ajax
ὀνηλατέω	conduire un âne ou des ânes,	drive donkeys
ὀνησίπολις	avantageux pour l'État,	profitable to the state
ὀνησιφόρος	qui procure un avantage utile,	bringing advantage, beneficial
ὀνθυλεύω	farcir,	dress with forced meat or stuffing
ὀνθύλευσις	mets farcis,	the use of forced meat
ὀνικός	d'âne ;	of or for an ass
ὀνοειδής	qui ressemble à un âne,	of the ass kind
ὀνοκέφαλος	à tête d'âne,	with the head of an ass
ὀνοκίνδιος	ânier,	donkey-driver
ὀνοκρόταλος	cormoran,	pelican
ὀνοκόπος	qui taille des pierres meulières,	chipping millstones
ὀνομάκλυτος	qui rend célèbre,	of famous name
ὀνομαίνω	nommer,	name or call by name
ὀνομακλήδην	en désignant par son nom,	calling by name, by name
ὀνομακλήτωρ	serviteur chargé de nommer à son maître les passants ou les citoyens nomenclator,	one who announces guests by name
ὀνομαστί	par son nom,	by name
ὀνομαστικός	propre à donner un nom, 	skilful at naming
ὀνοματίζω	s'occuper de mots,	dispute about names
ὀνοματικός	qui consiste en noms, 	consisting of nouns
ὀνοματογραφία	enregistrement de noms, nomenclature,	writing of names
ὀνοματοθέτης	qui impose un nom, qui nomme,	one who gives a name, namer
ὀνοματοθήρας	qui va à la chasse des mots ou des sens nouveaux,	word-hunter
ὀνοματοθετικός	qui concerne l'imposition d'un nom, qui sert à dénommer,	prone to name-giving
ὀνοματομάχος	qui bataille sur des mots,	fighting about a word, expression, or name
ὀνοματοποιός	qui crée des mots, par onomatopée,	coiner of names
ὀνοματώδης	nominal, de la nature du nom,	of the nature of a name
ὀνοσκελίς	@	she with the ass's legs
ὀνοστός	méprisable,	to be blamed or scorned
ὀνοσφαγία	sacrifice d'un âne ou d'ânes,	sacrifice of asses
ὀνοτάζω	injurier, traiter avec mépris,	blame
ὀνοχειλές	see <lang="grc">ὀνόχειλος</grc>	Cretan bugloss, Echium parviflorum
ὀνυχίτης	semblable à de l'onyx,	of the onyx kind
ὀνυχισμός	action de tailler ou de se tailler les ongles,	paring of the nails
ὀνυχιστήρ	fente du sabot des animaux à pied fourchu,	hoof
ὀνυχιστήριον	instrument pour se tailler les ongles,	nail-knife or scissors
ὀνυχοειδής	semblable à un ongle,	like a nail
ὀνυχόω	tailler en forme d'ongle,	make like a nail, claw, or hook
ὀνόγαστρις	au ventre d'âne, énorme,	fat paunch
ὀνόπορδον	sorte de grand chardon (pet d'âne),	pellitory, Parietaria cretica
ὀνόπυξος	sorte de chardon (buis d'âne)	cotton-thistle, Onopordon illyricum
ὀνόρυγχος	sorte de navet (museau d'âne)	bunilla
ὀνύχινος	d'onyx, fait d'onyx,	made of onyx
ὀνώδης	see <lang="grc">ὀνοειδής</grc>	ass-like
ὀνῖτις	origan,	pot marjoram, Origanum Onites
ὀξάλειος	à fruits acides,	sourish
ὀξέλαιον	mélange d'huile et de vinaigre,	sauce of vinegar and oil
ὀξίζω	avoir un goût de vinaigre ou être aigre,	taste or smell like vinegar
ὀξίνης	aigre, sur :	sharp, sour
ὀξαλίς	oseille,	sour wine
ὀξηρός	qui sert pour le vinaigre,	of or for vinegar
ὀξυάκανθα	sorte d'aubépine,	fiery thorn, Cotoneaster Pyracantha
ὀξυήκοος	qui a l'ouïe fine,	quick of hearing : of quick perception, keen
ὀξυαύγεια	éclat éblouissant,	dazzling light
ὀξυγαλάκτινος	fait de lait aigri ou de petit-lait,	made of sour milk
ὀξυγράφος	qui écrit vite,	writing fast
ὀξυγωνιότης	construction géométrique à angle aigu,	a being acute-angled
ὀξυγώνιος	à angles aigus,	acute-angled
ὀξυδερκία	vue perçante ou regard perçant,	sharp-sightedness
ὀξυδορκέω	avoir la vue perçante ou le regard, perçant,	to be quick of sight
ὀξυηχής	see <lang="grc">ὀξύηχος</grc>	sharp-sounding
ὀξυθυμέω	être vif, irascible,	to be quick to anger
ὀξυθυμία	accès de colère,	vivacity or instability of temper
ὀξυθύμησις	irascibilité,	passionateness
ὀξυθύμια	coins des carrefours où l'on brûlait en l'honneur d'Hécate les restes des sacrifices	refuse deposited at cross-roads near the statues of Hecate
ὀξυκέλευθος	qui voyage rapidement,	quick-travelling
ὀξυκίνητος	qui se meut vivement,	quickly moving
ὀξυκαμπής	recourbé en pointe,	sharply curved
ὀξυκινησία	vivacité de mouvement,	quickness of motion
ὀξυκόρακος	muni de crocs aigus,	with a sharp hook
ὀξυκώκυτος	qui provoque des cris aigus,	wailed with shrill cries
ὀξυλάπαθον	sorte de patience,	curled dock, Rumex crispus
ὀξυμάθεια	promptitude à apprendre,	quickness at learning
ὀξυμέριμνος	qui demande un esprit aiguisé, subtil,	keenly laboured or studied
ὀξυμήνιτος	accompli dans un accès de fureur,	bringing down quick anger
ὀξυμελίκρατον	see <lang="grc">κρατός</grc>	mixture of vinegar and honey, oxymel
ὀξυμυρσίνη	myrte épineux,	butcher's broom, Ruscus aculeatus
ὀξυντήρ	instrument pour tailler en pointe,	sharpener
ὀξυπέπερι	mélange de vinaigre et de poivre,	mixture of vinegar and pepper
ὀξυπετής	qui vole avec rapidité,	flying speedily
ὀξυπευκής	dont la pointe fait d'amères blessures,	sharp-pointed
ὀξυπλήξ	qui bat (ses rives) avec bruit,	accompanying fierce blows
ὀξυποδέω	avoir les pieds agiles,	quicken one's pace
ὀξυπύθμενος	dont le fond se termine en pointe,	with pointed bottom
ὀξυρεγμιάω	avoir des rapports aigres, des aigreurs d'estomac,	to be troubled with heartburn
ὀξυρεγμιώδης	qui souffre d'aigreurs d'estomac,	troubled with heartburn
ὀξυρεπής	see <lang="grc">ὀξύρροπος</grc>	quick-turning
ὀξυρρόδινον	huile de rose mélangée de vinaigre,	roseoil mixed with vinegar
ὀξυσιτία	âcreté de l'estomac, où les aliments s'aigrissent et ne se digèrent point,	a disorder in which the food turns acid
ὀξυτόμος	au tranchant aiguisé,	sharp-cutting, keen
ὀξυτόρος	perçant,	piercing, pointed
ὀξυφαής	à la vue perçante,	keen-sighted
ὀξυφεγγής	d'un vif éclat,	bright-beaming
ὀξυφλεγμασία	âcreté des humeurs,	violent inflammation
ὀξυφωνία	voix aiguë,	high pitch of voice
ὀξυχειρία	promptitude demain, habileté, savoir-faire,	quickness of hand
ὀξυωπέω	avoir la vue perçante,	to be sharp-sighted
ὀξυωπής	qui a la vue perçante	sharp-sighted
ὀξυωπία	vue perçante,	sharp-sightedness
ὀξυόδους	aux dents aiguës,	with sharp teeth
ὀξυόστρακος	aux écailles pointues, tranchantes,	with a sharp shell
ὀξωτός	vinaigré,	pickled
ὀξύγαρον	sauce de vinaigre et de saumure,	sauce of vinegar and
ὀξύγγιον	axonge,	axungia, lard
ὀξύγλυκυς	à la fois acide et doux, 	sour-sweet
ὀξύγοος	accompagné de gémissements aigus,	shrill-wailing
ὀξύδουπος	au bruit aigu,	sharp-sounding
ὀξύκεδρος	genévrier,	prickly cedar, Juniperus Oxycedrus
ὀξύκρατον	mélange d'eau et de vinaigre,	sour wine mixed with water
ὀξύμολπος	aux notes aiguës,	clear-singing
ὀξύμωρος	fin sous une apparence de niaiserie : 	pointedly foolish
ὀξύπεινος	qui a une faim aiguë,	ravenously hungry, ravenous, greedy
ὀξύπρῳρος	qui s'avance ou se termine en pointe, aigu,	sharp-prowed : sharp-pointed
ὀξύπτερος	aux ailes rapides, au vol rapide,	sharp- or swift-winged
ὀξύρριν	qui a le nez pointu,	with sharp or fine nose
ὀξύρροπος	qui penche facilement, qui se laisse aller facilement à une impression : 	turning quickly
ὀξύς	aigu,	@
ὀξύσχοινος	sorte de jonc à feuilles aiguës,	great sea-rush, Juncus acutus
ὀξύφρων	à l'esprit pénétrant,	acute, sagacious
ὀξύφυλλος	aux feuilles aiguës ; 	with pointed leaves
ὀξύφωνος	à la voix aiguë, claire ou sonore,	shrillvoiced, piercing
ὀξύχολος	irascible (qui a la bile prompte) 	quick to anger
ὀξώδης	qui ressemble à du vinaigre, aigre, acide,	like vinegar, acid
ὀπάλλιος	opale,	opal
ὀπήδησις	action d’accompagner	a following after, attending, pursuit
ὀπήεις	qui a un trou,	with a hole
ὀπίσθιος	de derrière, postérieur, 	hinder, belonging to the hinder part
ὀπίστατος	qui est tout à fait par derrière, le dernier,	hindmost or last
ὀπίσω	ensuite :	backwards
ὀπαῖος	qui a un trou, une ouverture ; 	with a hole or opening
ὀπηδέω	see <lang="grc">ὀπαδέω</grc>	follow, accompany, attend
ὀπιδνός	respecté, redouté,	dreaded, awful
ὀπιπεύω	regarder ;	stare at
ὀπισθέναρ	le dos de la main,	the back of the hand
ὀπισθοδάκτυλος	aux doigts recourbés en arrière,	with fingers bent backwards
ὀπισθοκέλευθος	qui va derrière,	following behind
ὀπισθοκύφωσις	courbure de l'épine dorsale,	backward curvature of the spine
ὀπισθονυγής	qui pique par derrière,	pricking from behind
ὀπισθονόμος	qui paît en allant à reculons,	grazing backwards
ὀπισθοπόρος	qui va par derrière,	following
ὀπισθοσφενδόνη	le derrière du réseau dont les femmes enveloppaient leur chevelure,	the back part of a ring
ὀπισθοτονία	« tension en arrière »;	a disease in which the body is drawn back and stiffens, tetanic recurvation
ὀπισθοτονικός	sujet à des attaques d’ὀπισθοτονία	subject to
ὀπισθουρητικός	qui urine par derrière,	retromingent
ὀπισθοφανής	qui se trouve par derrière,	seen from behind
ὀπισθοφυλακέω	être de l'arrière-garde,	guard the rear, form the rearguard
ὀπισθοφυλακία	arrière-garde,	the command of the rear
ὀπισθοφόρος	qui porte en arrière,	in a backward direction
ὀπισθοφύλαξ	soldat ou troupe d'arrière-garde,	one who guards the rear :
ὀπισθοχειμών	hiver tardif, arrière-hiver,	afterwinter, late winter
ὀπισθόγραφος	écrit sur le revers,	written on the back as well as the front
ὀπισθόδετος	lié par derrière,	bound behind or backwards
ὀπισθόδομος	derrière d'une maison ou d'un temple,	back chamber, inner cell
ὀπισθόκεντρος	armé d'un aiguillon par derrière,	with a sting in the tail
ὀπισθόκομος	qui a des cheveux par derrière,	wearing the hair long behind
ὀπισθόμηρον	derrière de la cuisse,	the back of the thigh
ὀπισθόπους	qui va derrière, suivant, serviteur,	walking behind, following, attendant
ὀπισθότονος	tendu en arrière, 	drawn backwards
ὀπισθόχειρ	qui a les mains derrière le dos,	with the hands tied behind
ὀπισμός	extraction du suc des arbres et des plantes par incision,	extraction of vegetable juice
ὀποειδής	semblable à du jus (de figuier) ; qui fait aigrir et cailler le lait,	like
ὀποκάρπασον	suc de carpasos,	opocarpatum
ὀποκιννάμωμον	suc du cinnamome,	the juice of the
ὀποπάναξ	suc de panax,	gum of Opopanax hispidus, Hercules' woundwort
ὀπτάω	faire cuire,	roast, broil
ὀπτήσιμος	propre à être rôti,	for roasting
ὀπτήτειρα	qui sert à rôtir ou à cuire,	one who roasts
ὀπτίων	lieutenant,	optio, assistant
ὀπταλέος	rôti, grillé,	roasted, broiled
ὀπτανός	rôti,	roasted
ὀπτασία	vue, spectacle,	@
ὀπτεύω	voir,	see
ὀπτικός	qui concerne la vue, 	of or for sight
ὀπτός2	visible,	@
ὀπωρίζω	récolter les fruits,	gather fruit
ὀπωριαῖος	de la fin de l'été ; 	autumnal
ὀπωρικός	de la fin de l'été ou du commencement de l'automne,	of fruit
ὀπωρινός	de la fin de l'été,	of
ὀπωρισμός	récolte des fruits,	vintage
ὀπωροθήκη	lieu pour déposer les fruits, fruitier,	fruit-room
ὀπωροκάπηλος	marchand de fruits,	fruiterer
ὀπωρολόγος	qui récolte des fruits,	plucking fruit
ὀπωροφορέω	produire (porter des fruits)	bear fruit
ὀπωροφυλάκιον	cabane du gardien d'un verger,	hut of a garden-watcher
ὀπωροφόρος	qui produit (qui porte) des fruits,	bearing fruit
ὀπωροφύλαξ	gardien d'un verger, d'un vignoble,	watcher of fruits, garden-watcher
ὀπόεις	plein de suc, juteux,	juicy
ὀπόφυλλον	graine de laserpitium,	the seed of the
ὀπώρα	@	the part of the year between the rising of Sirius and of Arcturus
ὀρέστεια	@	the tale of Orestes
ὀρέστειος	@	of Orestes
ὀρίγανον	see <lang="grc">ὀρίγανος</grc>	organy, Origanum heracleoticum
ὀρίκτυπος	qui résonne dans les montagnes,	sounding in or on the hills
ὀργάω	être plein de sève,	to be getting ready to bear, growing ripe
ὀργή	@	natural impulse or propensity
ὀργίζω	mettre en colère, irriter,	make angry, provoke to anger, irritate
ὀργίλος	porté à la colère, irascible,	inclined to anger, irascible
ὀργανοποιός	qui fabrique des instruments, des mécanismes, mécanicien,	maker of instruments or engines
ὀργανόω	munir d'instruments ou d'organes,	to be organized
ὀργαστήριον	lieu où se célébraient les mystères,	a place of
ὀργεωνικός	qui concerne les délégués de corporations ou les prêtres appelés	of or for the
ὀργιάς	inspirée, possédée de l'esprit divin,	ecstatic and mystic
ὀργιασμός	célébration de mystères, d'orgies,	celebrating of
ὀργιαστικός	qui se plaît aux mystères, aux orgies, porté à l'enthousiasme, inspiré,	of or for
ὀργιλότης	irascibilité,	irascibility
ὀργιοφάντης	qui initie aux mystères des orgies,	priest, one who initiates others into orgies
ὀργυιαῖος	de la longueur d'une brasse,	an
ὀρείκτιτος	qui habite dans les montagnes,	dwelling in the mountains
ὀρείπλαγκτος	see <lang="grc">ὀρειπλανής</grc>	mountain-roaming
ὀρείχαλκος	orichalque ou laiton,	orichalcum
ὀρειάρχης	maître ou roi des montagnes,	mountain-king
ὀρειάς	de montagne, 	of or belonging to mountains
ὀρειδρομία	course dans les montagnes,	running on the hills
ὀρειδρόμος	qui court à travers les montagnes,	running on the hills
ὀρειθαλής	qui croît sur les montagnes,	blooming on the hills
ὀρειλεχής	qui a son repaire dans les montagnes,	couching on the hills
